iter	Passed	Remaining
894	43685	5125
895	43724	5075
896	43760	5024
897	43803	4975
898	43857	4927
899	43920	4880
900	43965	4830
901	44017	4782
902	44054	4732
903	44115	4684
904	44182	4637
905	44232	4589
906	44284	4540
907	44345	4493
908	44400	4444
909	44444	4395
910	44492	4346
911	44532	4296
912	44575	4247
913	44638	4200
914	44691	4151
915	44746	4103
916	44802	4055
917	44857	4006
918	44913	3958
919	44972	3910
920	45025	3862
921	45082	3813
922	45138	3765
923	45199	3717
924	45254	3669
925	45318	3621
926	45375	3573
927	45429	3524
928	45482	3476
929	45529	3426
930	45575	3377
931	45627	3329
932	45679	3280
933	45746	3232
934	45808	3184
935	45865	3136
936	45916	3087
937	45962	3038
938	46024	2989
939	46072	2940
940	46108	2890
941	46160	2842
942	46220	2793
943	46266	2744
944	46317	2695
945	46381	2647
946	46442	2599
947	46497	2550
948	46549	2501
949	46603	2452
950	46678	2405
951	46720	2355
952	46779	2307
953	46826	2257
954	46875	2208
955	46921	2159
956	46976	2110
957	47024	2061
958	47085	2013
959	47140	1964
960	47197	1915
961	47254	1866
962	47294	1817
963	47348	1768
964	47397	1719
965	47443	1669
966	47507	1621
967	47567	1572
968	47628	1523
969	47684	1474
970	47725	1425
971	47764	1375
972	47817	1326
973	47884	1278
974	47938	1229
975	47994	1180
976	48041	1130
977	48094	1081
978	48152	1032
979	48205	983
980	48256	934
981	48317	885
982	48364	836
983	48404	787
984	48449	737
985	48497	688
986	48544	639
987	48600	590
988	48644	541
989	48678	491
990	48733	442
991	48790	393
992	48847	344
993	48904	295
994	48949	245
995	48993	196
996	49030	147
997	49086	98
998	49140	49
999	49187	0
